sent_A,sent_B,category,label
"Meskipun Mesir mengalami kerugian yang besar , perang ini memulihkan kehormatan dan rasa percaya diri mereka setelah kalah dalam Perang Enam Hari pada tahun 1967 .",Perang ini memulihkan kehormatan dan rasa percaya diri mereka setelah kalah dalam Perang Enam Hari pada tahun 1967 .,mesir dan timur tengah,Entail_or_Paraphrase
"Secara umum seluruh penduduk di kepulauan nusantara disebut-sebut berasal dari China selatan , demikian juga halnya dengan Bangsa Dayak .","Secara umum seluruh penduduk di kepulauan Nusantara disebut-sebut berasal dari Cina selatan , demikian juga halnya dengan Suku Dayak .",lokasi suku dayak di indonesia minor typo corrections,NotEntail
Akta Parlemen 1911 dan 1949 mewajibkan pemilu baru diadakan dengan waktu tidak lebih lima tahun berselang dari pemilu sebelumnya .,Pemilihan umum diadakan oleh Kerajaan atas nasihat dari Perdana Menteri .,←suntingan special contributions 39 252 160 91 39 252 160 91 user talk 39 252 160 91 bicara dibatalkan ke versi terakhir oleh user rachmat bot rachmat bot,NotEntail
"Misalnya , seorang fisikawan Richard Feynman menemukan rumus integral lintasan mekanika kuantum menggunakan paduan nalar matematika dan wawasan fisika , dan teori dawai masa kini , teori ilmiah yang masih berkembang yang berupaya membersatukan empat gaya dasar alami , terus saja mengilhami matematika baru .","Misalnya , seorang fisikawan hasan johar menemukan rumus integral lintasan mekanika kuantum menggunakan paduan nalar matematika dan wawasan fisika , dan teori dawai masa kini , teori ilmiah yang masih berkembang yang berupaya membersatukan empat gaya dasar alami , terus saja mengilhami matematika baru .",ilham matematika murni dan terapan dan estetika,NotEntail
Pada tahun 1538 dibangun tembok di sekitar Yerusalem dalam pemerintahan Suleiman yang Luar Biasa .,Pada tahun 1538 dibangun tembok di sekitar Yerusalem dalam pemerintahan raja salomo .,kebenaran pembangunan tembok ratapan,Entail_or_Paraphrase
"Satu hal baik dari reformasi sejalan dengan mundurnya Suharto adalah mundurnya TNI dari parlemen setelah bubarnya Dwi Fungsi ABRI , walaupun pengaruh militer dalam bernegara masih tetap kuat .","Setelah 30 tahun perseteruan sporadis antara Gerakan Aceh Merdeka dan militer Indonesia , maka persetujuan gencatan senjata terjadi pada tahun 2005 .",kolonialisme merapikan,NotEntail
"Di Indonesia , perguruan tinggi yang membuka program studi Geografi sebagai ilmu murni hanya lima perguruan tinggi negeri , yaitu Universitas Indonesia ( UI ) , UGM ( Universitas Gadjah Mada ) , UNP ( Universitas Negeri Padang ) , UNNES ( Universitas Negeri Semarang ) dan UM ( Universitas Negeri Malang ) , dan satu perguruan tinggi swasta ( Universitas Muhammadiyah Surakarta ) .","Di Indonesia , perguruan tinggi yang membuka program studi Geografi sebagai ilmu murni hanya empat perguruan tinggi negeri , yaitu Universitas Indonesia ( UI ) , UGM ( Universitas Gadjah Mada ) , UNP ( Universitas Negeri Padang ) , dan UM ( Universitas Negeri Malang ) , dan satu perguruan tinggi swasta ( Universitas Muhammadiyah Surakarta ) .",pendidikan tinggi,NotEntail
Semua sel dibatasi oleh suatu membran yang disebut membran plasma dan daerah di dalam sel disebut sitoplasma .,Semua sel dibatasi oleh suatu membran dan daerah di dalam sel disebut sitoplasma .,tambah,Entail_or_Paraphrase
Dalam bahasa Indonesia seseorang yang mendalami bidang falsafah disebut tukang nasi goreng .,Dalam bahasa Indonesia seseorang yang mendalami bidang falsafah disebut filsuf .,etimologi,NotEntail
Kyai Poleng memberi tahu bahwa Kyai Aluquro untuk di simpan di dalam rumah dan Kyai Nenggolo untuk dibawa ketika bereperang .,"Tombak tersebut diberi nama Kyai(si ) Nenggolo , dan kyai ( si ) Aluquro .",babad madura,NotEntail
"Pada tahun 1850 , George Windsor Earl , seorang etnolog berkebangsaan Inggris , awalnya mengusulkan istilah Indunesia dan Malayunesia untuk penduduk Kepulauan Hindia atau Kepulauan Melayu .","Pada tahun 1850 , George Earl , seorang etnolog berkebangsaan Inggris , awalnya mengusulkan istilah Indunesia dan Malayunesia untuk penduduk Kepulauan Hindia atau Kepulauan Melayu .",etimologi gt george earl berbeda dengan george windsor earl,Entail_or_Paraphrase
"Dengan tepat , Albert Einstein menyatakan bahwa sejauh hukum-hukum matematika merujuk kepada kenyataan , mereka tidaklah pasti ; dan sejauh mereka pasti , mereka tidak merujuk kepada kenyataan. Makna dari Matematika tak merujuk kepada kenyataan menyampaikan pesan bahwa gagasan matematika itu ideal dan steril atau terhindar dari pengaruh manusia .","Uniknya , kebebasannya dari kenyataan dan pengaruh manusia ini nantinya justru memungkinkan penyimpulan pernyataan bahwa semesta ini merupakan sebuah struktur matematika , menurut . Jika kita percaya bahwa realita di luar semesta ini haruslah bebas dari pengaruh manusia , maka harus struktur matematika lah semesta itu .",kalimat kalimat saya perbaiki agar nuansanya dengan konteks matematika lebih tepat,NotEntail
Pemerintah Indonesia telah bekerjasama dengan dunia international sehubungan dengan pemboman yang dilakukan oleh militan Islam dan Al-Qaeda .,Pemerintah Indonesia telah bekerjasama dengan dunia international sehubungan dengan pengeboman yang dilakukan oleh militan Islam dan Al-Qaeda .,ejaan replaced pemboman → pengeboman using project awb awb,Entail_or_Paraphrase
Selama berabad-abad orang Yahudi banyak didiskriminasikan orang Kristen di Eropa dan juga oleh orang-orang Arab di Timur Tengah meskipun mereka dianggap ‘ahli alkitab’ oleh orang Muslim .,Selama berabad-abad orang Yahudi banyak didiskriminasikan orang Kristen di Eropa dan juga oleh orang-orang Arab di Timur Tengah meskipun mereka dianggap ‘ahli alkitab’ oleh Muslim .,anti semitisme,Entail_or_Paraphrase
Kata tarikh dalam bahasa Indonesia artinya kurang lebih adalah waktu .,Dalam bahasa Arab sendiri sejarah disebut tarikh .,sedikit saja,NotEntail
"Gajah Mada adalah mahapatih di masa Hayam Wuruk , yang memimpin banyak penaklukan teritorial bagi kerajaan .","Gajah Mada adalah perdana menteri Hayam Wuruk , yang memimpin banyak penaklukan teritorial bagi kerajaan .",sejarah,Entail_or_Paraphrase
"Hukum Inggris berlaku di Inggris dan Wales , dan hukum Irlandia Utara berdasarkan pada prinsip-prinsip hukum umum ( common law ) .",Esensi dari hukum umum ini adalah bahwa hukum ini harus tunduk pada undang-undang Britania Raya .,hukum,NotEntail
"Pada tahun 1999 , orang-orang Dayak , bersama dengan kelompok-kelompok Melayu dan Cina memerangi para pendatang Madura ; 114 orang tewas .","Pada tahun 1999 , orang-orang Dayak , bersama dengan kelompok-kelompok Melayu memerangi para pendatang Madura ; 114 orang tewas .",keterlibatan,Entail_or_Paraphrase
"Yang kemudian merinci teori sel sebagaimana yang dikenal dalam bentuk modern-nya ialah Rudolf Virchow , seorang ilmuwan Jerman lainnya .","Yang kemudian memerinci teori sel sebagaimana yang dikenal dalam bentuk modern ialah Rudolf Virchow , seorang ilmuwan Jerman lainnya .",sunting nas,Entail_or_Paraphrase
"Untuk menspesifikasi sebuah jenis kelamin , sebuah kata sifat harus ditambahkan , adik laki-laki sebagai contohnya .","Untuk memerinci sebuah jenis kelamin , sebuah kata sifat harus ditambahkan , adik laki-laki sebagai contohnya .",melengkapi,Entail_or_Paraphrase
"Terdapat berbagai istilah lokal untuk suatu daerah di indonesia misal : kelurahan , desa , gampong , kampung , nagari , pekon , atau istilah lain yang diakomodasi oleh Undang-Undang Republik Indonesia Nomor 32 Tahun 2004 tentang Pemerintahan Daerah .",Provinsi dibagi menjadi 403 kabupaten dan 98 kota atau 6698 daerah setingkat kecamatan atau 81308 daerah setingkat desa .,curi klaim dan wikifikasi,NotEntail
Keberadaan orang Tionghoa yang banyak di kota Singkawang dan Pontianak dapat disamakan komunitas Cina Benteng yang bermukim di Kota Tangerang dekat Jakarta .,Keberadaan orang Tionghoa yang banyak di kota Singkawang dapat disamakan komunitas Cina Benteng yang bermukim di Kota Tangerang dekat Jakarta .,budaya,Entail_or_Paraphrase
Chairil Anwar adalah pujangga Indonesia yang mashyur .,Chairil Anwar adalah pujangga Indonesia yang terkemuka .,sedikit perbaikan ejaan dan kode wiki,Entail_or_Paraphrase
"Matematika adalah studi pelajaran , bosan , ruang , guru , sejenis pelajaran yang membuat bosan , dan beraneka topik menarik , bentuk , dan entitas .","Matematika adalah studi besaran , struktur , ruang , relasi , perubahan , dan beraneka topik pola , bentuk , dan entitas .",memperbaiki hasil vandalisme,NotEntail
"Kimia tradisional melibatkan interaksi antara zat kimia dalam reaksi kimia , yang mengubah satu atau lebih zat menjadi satu atau lebih zat lain .","Kimia tradisional melibatkan interaksi antara zat dalam reaksi kimia , yang mengubah satu atau lebih zat menjadi satu atau lebih zat lain .",wkf,Entail_or_Paraphrase
Tetapi Bahasa Melayu Pasar sudah terlanjur diadopsi oleh banyak pedagang yang melewati Indonesia .,Tetapi Bahasa Melayu Pasar sudah terlanjur diambil oleh banyak pedagang yang melewati Indonesia .,melengkapi,Entail_or_Paraphrase
"Sitoplasma ini terdiri dari medium semicair yang disebut sitosol , yang di dalamnya terdapat organel-organel dengan bentuk dan fungsi terspesialisasi serta sebagian besar tidak dimiliki prokariota .",Sel eukariota juga memiliki banyak membran internal .,tambah,NotEntail
"Orang Eropa yang pertama kali menemukan Bali ialah Cornelis de Houtman dari Belanda pada 1597 , meskipun sebuah kapal Portugis sebelumnya pernah terdampar dekat tanjung Bukit , Jimbaran , pada 1585 .","Orang Lombok yang pertama kali menemukan Bali ialah Udin bonyok dari Belanda pada 1597 , meskipun sebuah perahu Portugis sebelumnya pernah terdampar dekat tanjung Bukit , Jimbaran , pada 1585 .",sejarah,NotEntail
"Proses replikasi memerlukan keberadaan protein / enzim pembantu , salah satu yang terpenting dikenal dengan nama DNA polymerase , yang merupakan enzim pembantu pembentukan rantai DNA baru ( DNA merupakan polymer ) .","Proses replikasi memerlukan protein atau enzim pembantu ; salah satu yang terpenting dikenal dengan nama DNA polimerase , yang merupakan enzim pembantu pembentukan rantai DNA baru yang merupakan suatu polimer .",replikasi copyedit sembunyikan yang belum jelas,Entail_or_Paraphrase
"Pada awal rezim Orde Baru kebijakan ekomomi Indonesia disusun oleh sekelompok ekonom-ekonom lulusan departemen ekonomi Universitas California , Berkeley , yang dipanggil Mafia Berkeley .","Pada awal rezim Orde Baru kebijakan ekomomi Indonesia disusun oleh sekelompok ekonom lulusan Departemen Ekonomi Universitas California , Berkeley , yang dipanggil Mafia Berkeley .",sejarah,Entail_or_Paraphrase
Seluruh turunan dari 12 putera Yakub ( Israel ) itu dikenal dengan sebutan Bani Israel ( keturunan langsung Israel ) yang kemudian berkembang menjadi besar dinamakan menjadi Bangsa Israel .,Seluruh turunan dari 12 putera Yakub ( Israel ) itu dikenal dengan sebutan Bani Israel ( keturunan langsung Israel ) yang kemudian berkembang menjadi besar dinamakan menjadi Suku Israel .,menolak perubahan teks terakhir oleh istimewa kontribusi pengguna 141 109 98 87 141 109 98 87 dan mengembalikan revisi 6958053 oleh johnthorne,Entail_or_Paraphrase
"Antropologi berasal dari kata Yunani anthropos yang berarti manusia atau orang , dan logos yang berarti ilmu .","Antropologi berasal dari kata anthropos yang berarti manusia , dan logos yang berarti ilmu .",masukkan versi bahasa inggris,Entail_or_Paraphrase
"Makhluk hidup lainnya , termasuk tumbuhan , hewan , dan manusia , merupakan organisme multiselular yang terdiri dari banyak tipe sel terspesialisasi dengan fungsinya masing-masing yang tidak akan bertahan lama jika masing-masing berdiri sendiri .",Seluruh tubuh semua organisme berasal dari hasil pembelahan satu sel .,tambah,NotEntail
"Penggunaan bahasa di daerah biasanya lebih resmi , dan sering kali terselip logat-logat dan kata-kata di daerah bahasa Indonesia itu dituturkan .","Penggunaan bahasa di daerah biasanya lebih resmi , dan sering kali terselip dialek-dialek dan logat-logat di daerah bahasa Indonesia itu dituturkan .",melengkapi,Entail_or_Paraphrase
"Mosi Integral Natsir pada tanggal 17 Agustus 1950 , menyerukan kembalinya negara kesatuan Republik Indonesia dan membubarkan Republik Indonesia Serikat .","Mosi Integral Natsir pada tanggal 17 Agustus 1950 , menyerukan kembalinya negara kesatuan Indonesia dan membubarkan Republik Indonesia Serikat .",sejarah,Entail_or_Paraphrase
"Masjid artinya tempat sujud , dan mesjid berukuran kecil juga disebut musholla , langgar , atau surau .","Masjid artinya tempat sujud , juga disebut musholla atau langgar .",sedikit,NotEntail
"Penduduk Timor Timur berdasar demografi agama adalah sebagai berikut : Katolik ( 93 % ) , Protestan ( 4 % ) , Islam ( 2 % ) dan lain-lain ( 1 % ) .","Sebaran agama penduduk Timor Timur adalah sebagai berikut : Kristen Katholik ( 93 % ) , Protestan ( 4 % ) , Islam ( 2 % ) dan sebagainya .",demografi,Entail_or_Paraphrase
"Hatikvah , arti harafiahnya adalah “Harapan” , merupakan Lagu Kebangsaan Israel .",Hatikvah merupakan lagu kebangsaan Israel .,merapikan tata letak,Entail_or_Paraphrase
"Ilmu ekonomi telah mengalami perubahan besar dalam ide , konsep , dan metodenya ; walaupun menurut pendapat kritikus , kadang-kadang perubahan tersebut malah merusak konsep yang benar sehingga tidak sesuai dengan kenyataan yang ada .","Ilmu ekonomi akan mengalami perubahan besar dalam ide , konsep , dan metodenya ; walaupun menurut pendapat kritikus , kadang-kadang perubahan tersebut malah merusak konsep yang benar sehingga tidak sesuai dengan kenyataan yang ada .",,NotEntail
Ptolemeus dan sigit juga merancang dan menyediakan petunjuk tentang cara membuat peta dunia yang dihuni ( oikoumenè ) dan provinsi Romawi .,Ptolemeus juga merancang dan menyediakan petunjuk tentang cara membuat peta dunia yang dihuni ( oikoumenè ) dan provinsi Romawi .,prinsip pemetaan,Entail_or_Paraphrase
"Soekarno tidak memilih bahasanya sendiri , Jawa ( yang sebenarnya juga bahasa mayoritas pada saat itu ) , namun beliau memilih Bahasa Indonesia yang beliau dasarkan dari Bahasa Melayu yang dituturkan di Riau .","Soekarno tidak memilih bahasanya sendiri , Jawa ( yang sebenarnya juga bahasa mayoritas pada saat itu ) namun memilih Bahasa Indonesia yang dia dasarkan dari Bahasa Melayu yang dituturkan di Riau .",bahasa indonesia,Entail_or_Paraphrase
"Umumnya musik Bali merupakan kombinasi dari berbagai alat musik perkusi metal ( metalofon ) , gong , dan perkusi kayu ( xilofon ) .","Umumnya musik Bali merupakan kombinasi dari berbagai alat musik metallophone , gong , dan xylophone .",musik wikify italics,Entail_or_Paraphrase
"Provinsi dibagi menjadi 399 kabupaten dan 98 kota yang dibagi lagi menjadi kecamatan dan lagi menjadi kelurahan , desa , gampong , kampung , nagari , pekon , atau istilah lain yang diakomodasi oleh Undang-Undang Republik Indonesia Nomor 32 Tahun 2004 tentang Pemerintahan Daerah .","Provinsi dibagi menjadi 403 kabupaten dan 98 kota yang dibagi lagi menjadi kecamatan dan lagi menjadi kelurahan , desa , gampong , kampung , nagari , pekon , atau istilah lain yang diakomodasi oleh Undang-Undang Republik Indonesia Nomor 32 Tahun 2004 tentang Pemerintahan Daerah .",pembagian administratif update pekemaran 24 oktober,NotEntail
"Berasal dari rumpun yang sama , Bahasa Indonesia adalah dialek terstandardisasi dari bahasa Melayu , dan keduanya cukup mirip .",Bahasa Indonesia adalah bahasa dinamis yang terus menyerap kata-kata dari bahasa asing .,merapikan,NotEntail
"Dalam biologi , sel adalah kumpulan materi paling sederhana yang dapat hidup dan merupakan unit penyusun semua makhluk hidup .",Sel merupakan unit organisasi terkecil yang menjadi dasar kehidupan dalam arti biologis .,under construction,Entail_or_Paraphrase
"Kebanyakan bakteri memiliki suatu membran luar yang menutupi lapisan peptidoglikan , dan ada pula bakteri yang memiliki selubung sel dari protein .","Kebanyakan bakteri memiliki membran luar yang menutupi lapisan peptidoglikan , dan ada pula bakteri yang memiliki selubung sel dari protein .",tambah,Entail_or_Paraphrase
"Di dalam lumen , protein tersebut dimodifikasi , misalnya dengan penambahan gula , ditandai dengan penanda kimiawi , dan dipilah-pilah agar nantinya dapat dikirim ke tujuannya masing-masing .","Di dalam lumen , protein tersebut dimodifikasi , misalnya dengan penambahan karbohidrat , ditandai dengan penanda kimiawi , dan dipilah-pilah agar nantinya dapat dikirim ke tujuannya masing-masing .",tambah,Entail_or_Paraphrase
"Dari pihak ibunya , Saleha dia masih punya pertalian keluarga dengan Sutan Sjahrir , Perdana Menteri pertama Indonesia .","Dari pihak ibunya , Saleha dia masih punya pertalian keluarga dengan raden michael , Perdana Menteri pertama Indonesia .",masa kecil,NotEntail
"Dayak atau Daya adalah kumpulan berbagai subetnis Austronesia yang dianggap sebagai penduduk asli yang mendiami Pulau Kalimantan , lebih tepat lagi adalah yang memiliki budaya sungai dimasa sekarang yaitu setelah berkembangnya agama Islam di Borneo , sebelumnya Budaya masyarakat Dayak adalah Budaya Maritim atau bahari .","Dayak atau Daya adalah kumpulan berbagai subetnis Austronesia yang dianggap sebagai penduduk asli yang mendiami Pulau Kalimantan , lebih tepat lagi adalah yang memiliki budaya sungai dimasa sekarang yaitu setelah berkembangnya agama Islam di Kalimantan , sebelumnya Budaya masyarakat Dayak adalah Budaya Maritim atau bahari .",lokasi suku dayak di indonesia minor typo corrections,Entail_or_Paraphrase
"Kini , para matematikawan masih terus beradu argumentasi tentang karena perhitungan besar sangatlah sukar diperiksa , bukti-bukti itu mungkin saja tidak cukup kaku .","Kini , para matematikawan masih terus beradu argumentasi tentang bukti berbantuan-komputer .",notasi bahasa dan kekakuan perbaikan pranala,NotEntail
"Dia kemudian meneruskan pendidikannya di Meer Uitgebreid Lager Onderwijs , sekolah menengah pertama belanda , tetapi dia keluar sebelum lulus .","Dia kemudian meneruskan pendidikannya di Meer Uitgebreid Lager Onderwijs , sekolah menengah pertama , tapi dia keluar sebelum lulus .",masa kecil,Entail_or_Paraphrase
Baja lebih keras dari besi karena atom-atomnya terikat dalam kisi kristal yang lebih kaku .,Baja lebih keras dari besi karena atom-atomnya terikat dalam struktur kristal yang lebih kaku .,wkf,Entail_or_Paraphrase
"Dalam bahasa Inggris , hewan disebut animal , berasal dari bahasa Latin yaitu animalis , yang berarti bernapas .","Dalam bahasa Inggris , hewan disebut animal , dari bahasa Latin yaitu animalis , yang berarti memiliki napas .",etimologi,Entail_or_Paraphrase
"Harus ditekankan di sini bahwa ketika Timor Timur ditelantarkan oleh Portugal , penganut agama Katholik berjumlah 77 % .","Harus ditekankan di sini bahwa ketika Timor Timur ditelantarkan oleh Portugal , jumlah penganut agama Katholik adalah 77 % .",sedikit merapikan,Entail_or_Paraphrase
"Dibandingkan dengan lagu-lagu kebangsaan lain yang umumnya berdurasi setengah menit bahkan ada yang hanya 19 detik , Indonesia Raya memang jauh lebih panjang .","Dibandingkan dengan lagu-lagu kebangsaan lain yang umumnya berdurasi setengah menit, Indonesia Raya jauh lebih panjang .",copyedit,Entail_or_Paraphrase
"Hal ini disebabkan oleh kenyataan bahwa kemerdekaan de facto Negara Bebas Irlandia , yang mengakibatkan terpecahnya Irlandia pada tahun 1922 , meninggalkan Irlandia Utara sebagai satu-satunya bagian dari Pulau Irlandia yang masih berada di bawah kekuasaan Britania Raya .","Hal ini disebabkan oleh kenyataan bahwa kemerdekaan de facto Negara Bebas Irlandia , yang mengakibatkan terpecahnya Irlandia pada 1922 , meninggalkan Irlandia Utara sebagai satu-satunya bagian dari Pulau Irlandia yang masih berada di bawah kekuasaan Britania Raya .",tambahan terakhir,Entail_or_Paraphrase
"Menurut Talmud , definisi ini dipegang semenjak pemberian Sepuluh Perintah Allah di Gunung Sinai kira-kira 3.500 tahun dahulu kepada nabi Musa .","Menurut Talmud , definisi ini dipegang semenjak pemberian Sepuluh Perintah Yahweh di Gunung Sinai kira-kira 3.500 tahun dahulu kepada nabi Musa .",siapakah orang yang berhak disebut yahudi,Entail_or_Paraphrase
Jajaran pegunungan vulkanik dan dataran-dataran tinggi di sekitarnya yang membentang di sepanjang pulau Jawa menyebabkan daerah-daerah interior pulau ini beserta masyarakatnya secara relatif terpisahkan dari pengaruh luar .,Jajaran pegunungan vulkanik dan dataran-dataran tinggi yang sekitarnya di sepanjang pulau Jawa membuat daerah-daerah interior pulau ini beserta masyarakatnya secara relatif terpisahkan dari pengaruh luar .,sejarah,Entail_or_Paraphrase
Sementara bahasa Indonesia banyak dipakai untuk menulis .,Sementara bahasa Melayu banyak dipakai untuk menulis .,bahasa,NotEntail
"Indonesia kini sedang mengalami masalah-masalah ekonomi , politik dan pertikaian bernuansa agama di dalam negeri , dan beberapa daerah sedang berusaha untuk mendapatkan kemerdekaan , yaitu Aceh dan Papua .","Indonesia kini sedang mengalami masalah-masalah ekonomi , politik dan pertikaian bernuansa agama di dalam negeri , dan beberapa daerah berusaha untuk mendapatkan kemerdekaan , seperti Papua .",sejarah,Entail_or_Paraphrase
"Ayahnya bernama Toeloes , mantan bupati Indragiri Riau , berasal dari nagari Taeh Baruah , Limapuluh Kota .","Ayahnya bernama Toeloes , yang bekerja sebagai pamongpraja .",masa kecil,NotEntail
"Setiap tahunnya , WHO memprediksikan galur virus mana yang paling mungkin bersirkulasi pada tahun berikutnya , sehingga memungkinkan perusahaan farmasi untuk mengembangkan vaksin yang akan menyediakan kekebalan yang terbaik terhadap galur tersebut .",Vaksin juga telah dikembangkan untuk melindungi ternak unggas dari flu burung .,dalam ilmu biologi famili gt familia replaced famili → familia using project awb awb,NotEntail
Tetapi kedaulatan Palestina masih diakui walaupun daerahnya belum pasti .,Tetapi kedaulatan Palestina diakui meskipun daerahnya belum pasti .,tersilap wikipedia harap maaf,Entail_or_Paraphrase
Perdana Menteri Israel menjabat sebagai kepala pemerintahan dan Knesset bertugas sebagai badan legislatif Amerika Serikat .,Perdana Menteri Israel menjabat sebagai kepala pemerintahan dan Knesset bertugas sebagai badan legislatif Israel .,←suntingan special contributions nicholas tedjo nicholas tedjo user talk nicholas tedjo bicara dibatalkan ke versi terakhir oleh user encyclomake encyclomake,NotEntail
"Makin tinggi derajat suatu hewan , makin banyak organ tubuh yang dimilikinya .","Makin besar perkembangan suatu hewan , makin banyak organ tubuh yang dimilikinya .",organ hewan fx,NotEntail
"Wilayah Desa Nepa saat ini termasuk wilayah kecamatan Ketapang Kabupaten Sampang , dan sekarang termasuk salah satu tempat rekreasi karena di sana banyak kera .","Wilayah Desa Nepa saat ini termasuk wilayah kecamatan Ketapang Kabupaten Sampang , dan termasuk salah satu tempat Rekreasi karena di sana banyak kera .",babad madura,Entail_or_Paraphrase
"Matematika muncul pada saat dihadapinya masalah-masalah yang rumit yang melibatkan kuantitas, kualitas , struktur , ruang , atau perubahan .","Matematika muncul pada saat dihadapinya masalah-masalah yang rumit yang melibatkan kuantitas , struktur , ruang , atau perubahan .",membalikkan revisi 8062797 oleh special contributions vladamir putin vladamir putin user talk vladamir putin bicara hacker kampung,Entail_or_Paraphrase
Orang Madura pada dasarnya adalah orang yang suka merantau karena keadaan wilayahnya yang kurang baik untuk bertani .,Orang Madura pada dasarnya adalah orang yang suka merantau karena keadaan wilayahnya yang tidak baik untuk bertani .,←suntingan special contributions cunkring8 cunkring8 user talk cunkring8 bicara dikembalikan ke versi terakhir oleh user muhammad munari muhammad munari,Entail_or_Paraphrase
"Chairil masuk sekolah Holland Indische school ( HIS ) , sekolah dasar untuk orang-orang pribumi waktu penjajah Belanda .","Chairil masuk sekolah Holland Indische school ( HIS ) , sekolah dasar untuk orang-orang pribumi zaman Hindia Belanda .",masa kecil,Entail_or_Paraphrase
"Dalam Bahasa Sanskerta yava berarti tanaman jelai , sebuah tanaman yang membuat pulau ini terkenal .",Yawadvipa disebut dalam epik India Ramayana .,etimologi,NotEntail
"Ada 5 budaya dasar masyarakat asli rumpun Austronesia di Kalimantan atau Etnis Orang Kalimantan yaitu Melayu , Dayak , Banjar , Kutai dan Paser .","3 budaya dasar masyarakat asli rumpun Austronesia di Kalimantan atau Etnis Orang Kalimantan di antaranya Dayak , Banjar , dan Kutai .",budaya,Entail_or_Paraphrase
Sejarah secara harafiah berasal dari kata Arab yang artinya pohon .,Sejarah secara harafiah berasal dari kata Arab yang artinya meja .,sejarah,NotEntail
"Israel adalah sebuah negara di Timur Tengah , dikelilingi Laut Tengah , Lebanon , Suriah , Yordania , Mesir dan gurun pasir Sinai .","Israel merupakan negara di Timur Tengah , dikelilingi Laut Tengah , Libanon , Suriah , Yordania , Mesir dan gurun pasir Sinai .",infobox pranala luar,Entail_or_Paraphrase
"Adalah penyakit infeksi yang sangat mudah menular atau infeksius sejak awal masa prodromal , yaitu kurang lebih 4 hari pertama sejak munculnya ruam .","Adalah penyakit infeksi yang sangat mudah menular atau infeksius sejak awal masa prodromal , yaitu kisaran 4 hari pertama sejak munculnya ruam .",penyebab,Entail_or_Paraphrase
Tanaman budi daya yang paling komersial di Madura ialah tembakau .,Pertanian tembakau berperan besar dalam ekonomi Madura .,tambahan sejarah,Entail_or_Paraphrase
"Insiden peledakan pesawat sipil di bandar udara Lebanon yang dilakukan oleh agen Mossad pada akhir 1970-an sebagai pembalasan peristiwa Black September , dimana atlet Olympiade Israel dibunuh oleh gerilyawan PLO di Munich , Jerman Barat , menyebabkan Perancis mengembargo persenjataan ke Israel .","Insiden peledakan pesawat sipil di bandar udara Lebanon yang dilakukan oleh agen Mossad pada akhir 1970-an sebagai pembalasan peristiwa Black September , dimana atlet Olympiade Israel dibunuh oleh gerilyawan PLO di München , Jerman Barat , menyebabkan Perancis mengembargo persenjataan ke Israel .",israel kenapa harus ada kalimat yang dipertebal dan munich,NotEntail
"Novel Hamka yang lain, Tenggelamnya Kapal Van der Wijck, juga bercerita tentang kisah anak perantau Minang yang pulang kampung .",Novel Tenggelamnya Kapal Van der Wijck juga bercerita tentang kisah anak perantau Minang yang pulang kampung .,merantau dalam sastra,Entail_or_Paraphrase
"Pemerintahan di Sulawesi dibagi menjadi enam provinsi berdasarkan urutan pembentukannya yaitu provinsi Sulawesi Selatan , Sulawesi Utara , Sulawesi Tengah , Sulawesi Tenggara , Gorontalo , dan Sulawesi Barat .","Pemerintahan di Sulawesi dibagi menjadi enam provinsi yaitu provinsi Sulawesi Utara , Sulawesi Tengah , Sulawesi Selatan , Sulawesi Tenggara , Sulawesi Barat , dan Gorontalo .",administrasi,Entail_or_Paraphrase
"Sehingga kini Indonesia belum mengesahkan kedaulatan Israel , meskipun sudah diakui oleh beberapa Negara Arab .","Sampai sekarang Indonesia belum mengakui kedaulatan Israel , meskipun beberapa Negara Arab sudah mengakui .",tersilap wikipedia harap maaf,Entail_or_Paraphrase
Sesampainya di Kerajaan Medangkemulan peperangan dengan tentara Cina pun tidak dapat dielakkan Raden Segoro bertempur luar biasa dengan didampingi Kyai Poleng .,"Sesampainya di Kerajaan Medang kamulan , rombongan ini terlibat peperangan dengan tentara Cina .",babad madura,Entail_or_Paraphrase
Sedangkan Bahasa Inggris dan Bahasa Indonesia berstatus sebagai bahasa perantara menurut aturan peralihan sementara di dalam konstitusi Timor-Leste .,Sedangkan Bahasa Inggris dan Bahasa Indonesia berstatus sebagai bahasa perantara menurut konstitusi Timor-Leste .,demografi,Entail_or_Paraphrase
"Meskipun masih kontroversial ( terutama di kalangan agamawan ) , teori Darwin diterima oleh komunitas ilmiah dan segera menjadi aksioma dasar dalam ilmu biologi .","Meskipun banyak ditentang oleh agamawan , teori Darwin diterima oleh komunitas ilmiah dan segera menjadi aksioma dasar dalam ilmu biologi .",sejarah,Entail_or_Paraphrase
"Pada tanggal 6 Oktober 1973 , pada hari Yom Kippur , hari raya Yahudi yang paling besar , ketika orang-orang Israel sedang khusyuk merayakannya , yang juga bertepatan dengan bulan Ramadhan bagi ummat Islam sehingga dinamakan Perang Ramadhan , Suriah dan Mesir menyerbu Israel secara tiba-tiba .","Pada tanggal 6 Oktober 1973 , pada hari Yom Kippur , hari raya Yahudi yang paling besar , ketika orang-orang Israel sedang khusyuk merayakannya , Suriah dan Mesir menyerbu Israel secara tiba-tiba .",perang yom kippur,Entail_or_Paraphrase
